image,class,subset
cars_train/00001.jpg,no_damage,T
cars_train/00002.jpg,no_damage,T
cars_train/00003.jpg,no_damage,T
cars_train/00004.jpg,no_damage,T
cars_train/00005.jpg,no_damage,T
cars_train/00006.jpg,no_damage,T
cars_train/00007.jpg,no_damage,T
cars_train/00008.jpg,no_damage,T
cars_train/00009.jpg,no_damage,T
cars_train/00010.jpg,no_damage,T
cars_train/00011.jpg,no_damage,T
cars_train/00012.jpg,no_damage,T
cars_train/00013.jpg,no_damage,T
cars_train/00014.jpg,no_damage,T
cars_train/00015.jpg,no_damage,T
cars_train/00016.jpg,no_damage,T
cars_train/00017.jpg,no_damage,T
cars_train/00018.jpg,no_damage,T
cars_train/00019.jpg,no_damage,T
cars_train/00020.jpg,no_damage,T
cars_train/00021.jpg,no_damage,T
cars_train/00022.jpg,no_damage,T
cars_train/00023.jpg,no_damage,T
cars_train/00024.jpg,no_damage,T
cars_train/00025.jpg,no_damage,T
cars_train/00026.jpg,no_damage,T
cars_train/00027.jpg,no_damage,T
cars_train/00028.jpg,no_damage,T
cars_train/00029.jpg,no_damage,T
cars_train/00030.jpg,no_damage,T
cars_train/00031.jpg,no_damage,T
cars_train/00032.jpg,no_damage,T
cars_train/00033.jpg,no_damage,T
cars_train/00034.jpg,no_damage,T
cars_train/00035.jpg,no_damage,T
cars_train/00036.jpg,no_damage,T
cars_train/00037.jpg,no_damage,T
cars_train/00038.jpg,no_damage,T
cars_train/00039.jpg,no_damage,T
cars_train/00040.jpg,no_damage,T
cars_train/00041.jpg,no_damage,T
cars_train/00042.jpg,no_damage,T
cars_train/00043.jpg,no_damage,T
cars_train/00044.jpg,no_damage,T
cars_train/00045.jpg,no_damage,T
cars_train/00046.jpg,no_damage,T
cars_train/00047.jpg,no_damage,T
cars_train/00048.jpg,no_damage,T
cars_train/00049.jpg,no_damage,T
cars_train/00050.jpg,no_damage,T
cars_train/00051.jpg,no_damage,T
cars_train/00052.jpg,no_damage,T
cars_train/00053.jpg,no_damage,T
cars_train/00054.jpg,no_damage,T
cars_train/00055.jpg,no_damage,T
cars_train/00056.jpg,no_damage,T
cars_train/00057.jpg,no_damage,T
cars_train/00058.jpg,no_damage,T
cars_train/00059.jpg,no_damage,T
cars_train/00060.jpg,no_damage,T
cars_train/00061.jpg,no_damage,T
cars_train/00062.jpg,no_damage,T
cars_train/00063.jpg,no_damage,T
cars_train/00064.jpg,no_damage,T
cars_train/00065.jpg,no_damage,T
cars_train/00066.jpg,no_damage,T
cars_train/00067.jpg,no_damage,T
cars_train/00068.jpg,no_damage,T
cars_train/00069.jpg,no_damage,T
cars_train/00070.jpg,no_damage,T
cars_train/00071.jpg,no_damage,T
cars_train/00072.jpg,no_damage,T
cars_train/00073.jpg,no_damage,T
cars_train/00074.jpg,no_damage,T
cars_train/00075.jpg,no_damage,T
cars_train/00076.jpg,no_damage,T
cars_train/00077.jpg,no_damage,T
cars_train/00078.jpg,no_damage,T
cars_train/00079.jpg,no_damage,T
cars_train/00080.jpg,no_damage,T
cars_train/00081.jpg,no_damage,T
cars_train/00082.jpg,no_damage,T
cars_train/00083.jpg,no_damage,T
cars_train/00084.jpg,no_damage,T
cars_train/00085.jpg,no_damage,T
cars_train/00086.jpg,no_damage,T
cars_train/00087.jpg,no_damage,T
cars_train/00088.jpg,no_damage,T
cars_train/00089.jpg,no_damage,T
cars_train/00090.jpg,no_damage,T
cars_train/00091.jpg,no_damage,T
cars_train/00092.jpg,no_damage,T
cars_train/00093.jpg,no_damage,T
cars_train/00094.jpg,no_damage,T
cars_train/00095.jpg,no_damage,T
cars_train/00096.jpg,no_damage,T
cars_train/00097.jpg,no_damage,T
cars_train/00098.jpg,no_damage,T
cars_train/00099.jpg,no_damage,T
cars_train/00100.jpg,no_damage,T
cars_train/00101.jpg,no_damage,T
cars_train/00102.jpg,no_damage,T
cars_train/00103.jpg,no_damage,T
cars_train/00104.jpg,no_damage,T
cars_train/00105.jpg,no_damage,T
cars_train/00106.jpg,no_damage,T
cars_train/00107.jpg,no_damage,T
cars_train/00108.jpg,no_damage,T
cars_train/00109.jpg,no_damage,T
cars_train/00110.jpg,no_damage,T
cars_train/00111.jpg,no_damage,T
cars_train/00112.jpg,no_damage,T
cars_train/00113.jpg,no_damage,T
cars_train/00114.jpg,no_damage,T
cars_train/00115.jpg,no_damage,T
cars_train/00116.jpg,no_damage,T
cars_train/00117.jpg,no_damage,T
cars_train/00118.jpg,no_damage,T
cars_train/00119.jpg,no_damage,T
cars_train/00120.jpg,no_damage,T
cars_train/00121.jpg,no_damage,T
cars_train/00122.jpg,no_damage,T
cars_train/00123.jpg,no_damage,T
cars_train/00124.jpg,no_damage,T
cars_train/00125.jpg,no_damage,T
cars_train/00126.jpg,no_damage,T
cars_train/00127.jpg,no_damage,T
cars_train/00128.jpg,no_damage,T
cars_train/00129.jpg,no_damage,T
cars_train/00130.jpg,no_damage,T
cars_train/00131.jpg,no_damage,T
cars_train/00132.jpg,no_damage,T
cars_train/00133.jpg,no_damage,T
cars_train/00134.jpg,no_damage,T
cars_train/00135.jpg,no_damage,T
cars_train/00136.jpg,no_damage,T
cars_train/00137.jpg,no_damage,T
cars_train/00138.jpg,no_damage,T
cars_train/00139.jpg,no_damage,T
cars_train/00140.jpg,no_damage,T
cars_train/00141.jpg,no_damage,T
cars_train/00142.jpg,no_damage,T
cars_train/00143.jpg,no_damage,T
cars_train/00144.jpg,no_damage,T
cars_train/00145.jpg,no_damage,T
cars_train/00146.jpg,no_damage,T
cars_train/00147.jpg,no_damage,T
cars_train/00148.jpg,no_damage,T
cars_train/00149.jpg,no_damage,T
cars_train/00150.jpg,no_damage,T
cars_train/00151.jpg,no_damage,T
cars_train/00152.jpg,no_damage,T
cars_train/00153.jpg,no_damage,T
cars_train/00154.jpg,no_damage,T
cars_train/00155.jpg,no_damage,T
cars_train/00156.jpg,no_damage,T
cars_train/00157.jpg,no_damage,T
cars_train/00158.jpg,no_damage,T
cars_train/00159.jpg,no_damage,T
cars_train/00160.jpg,no_damage,T
cars_train/00161.jpg,no_damage,T
cars_train/00162.jpg,no_damage,T
cars_train/00163.jpg,no_damage,T
cars_train/00164.jpg,no_damage,T
cars_train/00165.jpg,no_damage,T
cars_train/00166.jpg,no_damage,T
cars_train/00167.jpg,no_damage,T
cars_train/00168.jpg,no_damage,T
cars_train/00169.jpg,no_damage,T
cars_train/00170.jpg,no_damage,T
cars_train/00171.jpg,no_damage,T
cars_train/00172.jpg,no_damage,T
cars_train/00173.jpg,no_damage,T
cars_train/00174.jpg,no_damage,T
cars_train/00175.jpg,no_damage,T
cars_train/00176.jpg,no_damage,T
cars_train/00177.jpg,no_damage,T
cars_train/00178.jpg,no_damage,T
cars_train/00179.jpg,no_damage,T
cars_train/00180.jpg,no_damage,T
cars_train/00181.jpg,no_damage,T
cars_train/00182.jpg,no_damage,T
cars_train/00183.jpg,no_damage,T
cars_train/00184.jpg,no_damage,T
